id,sales_person,country,product,amount,boxes_shipped,first_name,last_name,sale_date,run_id,file_name,file_type,created_at,modified_at
1,Jehu Rudeforth,UK,Mint Chip Choco,5320.0,180,Jehu,Rudeforth,2022-01-04,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
2,Van Tuxwell,India,85% Dark Bars,7896.0,94,Van,Tuxwell,2022-08-01,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
3,Gigi Bohling,India,Peanut Butter Cubes,4501.0,91,Gigi,Bohling,2022-07-07,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
4,Jan Morforth,Australia,Peanut Butter Cubes,12726.0,342,Jan,Morforth,2022-04-27,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
5,Jehu Rudeforth,UK,Peanut Butter Cubes,13685.0,184,Jehu,Rudeforth,2022-02-24,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
6,Van Tuxwell,India,Smooth Sliky Salty,5376.0,38,Van,Tuxwell,2022-06-06,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
7,Oby Sorrel,UK,99% Dark & Pure,13685.0,176,Oby,Sorrel,2022-01-25,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
8,Gunar Cockshoot,Australia,After Nines,3080.0,73,Gunar,Cockshoot,2022-03-24,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
9,Jehu Rudeforth,New Zealand,50% Dark Bites,3990.0,59,Jehu,Rudeforth,2022-04-20,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
10,Brien Boise,Australia,99% Dark & Pure,2835.0,102,Brien,Boise,2022-07-04,645c4da19a0f4d8d92d24eb5d6e98cdc,Chocolate Sales,csv,2025-03-31 03:02:57.580095,2025-03-31 03:02:57.580095
